"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","custom_design","page_layout","options_container","image_label","small_image_label","thumbnail_label","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","gift_message_available","price","special_price","msrp","color","featured","enable_googlecheckout","status","visibility","tax_class_id","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","size","weight","is_recurring","brand"
"admin","base","Default","Vocaloid","3","RINQBY","1","makeup base","","","/u/n/untitled-3.png","/u/n/untitled-3.png","/u/n/untitled-3.png","vocaloid-senbonsakura-rin","vocaloid-senbonsakura-rin.html","","无布局更新","产品信息栏","","",""," ","用户配置","用户配置","否","480.0000","","","绿色","是","是","已启用","分类，搜索","","<p>&nbsp;</p>
<p><span style=""font-size: large; font-family: 微软雅黑, Calibril; color: #a0522d;"">COSPLAYQ ❤ Vocaloid 镜音RIN 千本樱 cosplay 套装</span></p>
<p><span style=""color: #a0522d; font-family: 微软雅黑, Calibril; font-size: medium;"">全套包括：帽子+衣服+领带+裙子+袜子+眼罩</span","","","","","","2012-05-16 00:00:00","2012-07-26 00:00:00","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","1","makeup base","0","configurable","","","","","",""
"admin","base","Default","simple","","RINQBY-S","0","Rin千本樱 S","","","","","","vocaloid-senbonsakura-rin-s","vocaloid-senbonsakura-rin-s.html","","","产品信息栏","","","","","用户配置","用户配置","","460.0000","","","绿色","否","是","已启用","无独立可见性","","Rin千本樱 S","","","","","","","","","","999.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","0","1","0","1","0.0000","1","0","0","1","Rin千本樱 S","0","simple","","","S","","",""
"admin","base","Default","simple","","RINQBY-M","0","Rin千本樱 M","","","","","","vocaloid-senbonsakura-rin-m","vocaloid-senbonsakura-rin-m.html","","","产品信息栏","","","","","用户配置","用户配置","","480.0000","","","绿色","否","是","已启用","无独立可见性","","Rin千本樱 M","","","","","","","","","","999.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","0","1","0","1","0.0000","1","0","0","1","Rin千本樱 M","0","simple","","","M","","",""
"admin","base","Default","simple","","RINQBY-L","0","Rin千本樱 L","","","","","","vocaloid-senbonsakura-rin-l","vocaloid-senbonsakura-rin-l.html","","","产品信息栏","","","","","用户配置","用户配置","","480.0000","","","绿色","否","是","已启用","无独立可见性","","Rin千本樱 L","","","","","","","","","","999.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","","1","0","1","0","1","0.0000","1","0","0","1","Rin千本樱 L","0","simple","","","L","","",""
"admin","base","Default","","","RINQBY-T","0","Rin千本樱 T","","","","","","vocaloid-senbonsakura-rin-t","vocaloid-senbonsakura-rin-t.html","","无布局更新","信息栏之后阻止","","",""," ","用户配置","用户配置","否","500.0000","","","绿色","否","是","已启用","无独立可见性","","Rin千本樱 T","","","","","","","","","","999.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","1","Rin千本樱 T","0","simple","","","定做","","否",""
"admin","base","Default","Vocaloid","3","MIKUQBY","1","foundation","","","/u/n/untitled-3_1.png","/u/n/untitled-3_1.png","/u/n/untitled-3_1.png","vocaloid-senbonsakura-miku","vocaloid-senbonsakura-miku.html","","无布局更新","产品信息栏","","",""," ","用户配置","用户配置","否","480.0000","","","绿色","是","是","已启用","分类，搜索","","foundation","","","","","","2012-05-16 00:00:00","2012-07-26 00:00:00","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","1","","","1","0","1","0","1","0.0000","1","0","0","1","foundation","0","configurable","","","","","",""
"admin","base","Default","simple","","MIKUQBY-S","0","Miku千本樱 S","","","","","","vocaloid-senbonsakura-miku-s","vocaloid-senbonsakura-miku-s.html","","","产品信息栏","","","","","用户配置","用户配置","","480.0000","","","绿色","否","是","已启用","无独立可见性","","Miku千本樱 S","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2012-05-25 10:56:50","","1","0","1","0","1","0.0000","1","0","0","1","Miku千本樱 S","0","simple","","","S","","",""
"admin","base","Default","simple","","MIKUQBY-M","0","Miku千本樱 M","","","","","","vocaloid-senbonsakura-miku-m","vocaloid-senbonsakura-miku-m.html","","","产品信息栏","","","","","用户配置","用户配置","","480.0000","","","绿色","否","是","已启用","无独立可见性","","Miku千本樱 M","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2012-05-25 10:56:50","","1","0","1","0","1","0.0000","1","0","0","1","Miku千本樱 M","0","simple","","","M","","",""
"admin","base","Default","simple","","MIKUQBY-L","0","Miku千本樱 L","","","","","","vocaloid-senbonsakura-miku-l","vocaloid-senbonsakura-miku-l.html","","","产品信息栏","","","","","用户配置","用户配置","","480.0000","","","绿色","否","是","已启用","无独立可见性","","Miku千本樱 L","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2012-05-25 10:56:50","","1","0","1","0","1","0.0000","1","0","0","1","Miku千本樱 L","0","simple","","","L","","",""
"admin","base","Default","simple","","MIKUQBY-T","0","Miku千本樱 T","","","","","","vocaloid-senbonsakura-miku-t","vocaloid-senbonsakura-miku-t.html","","","信息栏之后阻止","","","","","用户配置","用户配置","","500.0000","","","绿色","否","是","已启用","无独立可见性","","Miku千本樱 T","","","","","","","","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","2012-05-25 10:56:50","","1","0","1","0","1","0.0000","1","0","0","1","Miku千本樱 T","0","simple","","","定做","","",""
